DEBUG:__main__:Function 'example' took 0.0310 seconds to complete
Function '_train' took 3.5698 seconds to complete
Function '_train' took 2.5140 seconds to complete
Function '_train' took 2.5838 seconds to complete
Function '_forward' took 1.0871 seconds to complete
Function '_train' took 3.7006 seconds to complete
Function '_forward' took 0.0807 seconds to complete
Function '_forward' took 0.0787 seconds to complete
Function '_train' took 2.4903 seconds to complete
Function '_forward' took 0.0798 seconds to complete
Function '_forward' took 0.0804 seconds to complete
Function '_train' took 2.5528 seconds to complete
Function '_forward' took 0.0807 seconds to complete
Function '_forward' took 0.0793 seconds to complete
Function '_train' took 2.5586 seconds to complete
Function '_forward' took 0.0796 seconds to complete
Function '_forward' took 0.0798 seconds to complete
Function '_train' took 2.4947 seconds to complete
Function '_forward' took 0.0798 seconds to complete
Function '_forward' took 0.0792 seconds to complete
Function '_train' took 2.5669 seconds to complete
Function '_forward' took 0.0810 seconds to complete
Function '_forward' took 0.0791 seconds to complete
Function '_train' took 2.5512 seconds to complete
Function '_forward' took 0.0801 seconds to complete
Function '_forward' took 0.0803 seconds to complete
Function '_train' took 2.5678 seconds to complete
Function '_forward' took 0.0806 seconds to complete
Function '_forward' took 0.0792 seconds to complete
Function '_train' took 2.5581 seconds to complete
Function '_forward' took 0.0797 seconds to complete
Function '_forward' took 0.0801 seconds to complete
